N_SOLICITUD,f_3pva18m,mes_solicitud,edad,suma_saldo_vencido_open,suma_saldo_actual_open,razon_monto_apagar_saldo_actual_open,razon_monto_apagar_limite_credito_open,razon_monto_apagar_saldo_vencido_open,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_open,razon_saldo_vencido_saldo_actual_open,suma_ponderada_pagos_12m_open,suma_ponderada_pagos_18m_open,suma_ponderada_pagos_24m_open,r_sumapd_sumcl_open,r_sumcb_sumcl_open,r_sumhhda_sumhc_open,utilizacion_maximo_limite_open,utilizacion_open,max_antiguedad_cuenta_meses_open,min_antiguedad_cuenta_meses_open,promedio_antiguedad_cuenta_meses_open,max_mop_tc_ult_12m_open,max_mop_tc_ult_18m_open,max_mop_tc_ult_24m_open,num_ctas_antig_12m_open,num_ctas_antig_18m_open,num_ctas_antig_24m_open,suma_saldo_vencido_ban_all,suma_saldo_actual_ban_all,razon_monto_apagar_saldo_actual_ban_all,razon_monto_apagar_limite_credito_ban_all,razon_monto_apagar_saldo_vencido_ban_all,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_ban_all,razon_saldo_vencido_saldo_actual_ban_all,suma_ponderada_pagos_12m_ban_all,suma_ponderada_pagos_18m_ban_all,suma_ponderada_pagos_24m_ban_all,r_sumapd_sumcl_ban_all,r_sumcb_sumcl_ban_all,r_sumhhda_sumhc_ban_all,utilizacion_maximo_limite_ban_all,utilizacion_ban_all,max_antiguedad_cuenta_meses_ban_all,min_antiguedad_cuenta_meses_ban_all,promedio_antiguedad_cuenta_meses_ban_all,max_mop_tc_ult_12m_ban_all,max_mop_tc_ult_18m_ban_all,max_mop_tc_ult_24m_ban_all,num_ctas_antig_12m_ban_all,num_ctas_antig_18m_ban_all,num_ctas_antig_24m_ban_all,n_cons6meses_all,n_cons9meses_all,n_cons12meses_all
201805870915175.0,0,2018-05-01,55.0,0.0,34778.67378,0.022663364,0.015079246,,0.0,0.0,0.604251918,0.511258194,0.448470997,0.0,0.665357826,0.0,1.0,0.665357826,210.1639344,2.852459016,72.63934426,1.0,1.0,1.0,3.0,3.0,3.0,0.0,1632.287783,0.044833911,0.007692308,,0.0,0.0,0.747797402,0.747797402,0.747797402,0.0,0.171573427,0.0,1.0,0.171573427,131.8360656,2.852459016,45.97814208,1.0,1.0,1.0,2.0,2.0,2.0,9.0,12.0,12.0
201805871309597.0,0,2018-05-01,25.0,0.0,10998.53517,0.022060159,0.020391608,,0.021303276,0.0,0.60357455,0.530041295,0.490645764,0.0,0.924363636,0.015578314,1.4195,0.924363636,25.47540984,1.37704918,14.68852459,2.0,2.0,2.0,2.0,2.0,2.0,0.0,228.9836045,0.181686047,0.03125,,,0.0,0.519615014,0.471244443,0.471244443,0.0,0.172,,0.658125,0.172,25.37704918,25.37704918,25.37704918,1.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,8.0
201805871399480.0,0,2018-05-01,33.0,0.0,405698.8723,0.019786612,0.03847964,,0.005728632,0.0,0.525719373,0.44494549,0.396014823,0.0,1.944731086,0.00276222,2.154246505,1.944731086,89.14754098,2.032786885,38.61202186,1.0,2.0,2.0,1.0,2.0,3.0,0.0,7905.758793,0.0,0.0,,0.057736796,0.0,0.519615014,0.434411176,0.381169124,0.0,1.055711111,0.057736796,1.364044444,1.055711111,64.8852459,64.8852459,64.8852459,1.0,1.0,1.0,0.0,0.0,0.0,7.0,7.0,7.0
201805871571232.0,0,2018-05-01,64.0,0.0,10312.3433,0.054838085,0.032820622,,0.006867058,0.0,0.535645565,0.454202538,0.406200638,0.0,0.598500512,0.003978226,0.912433566,0.598500512,185.8688525,8.950819672,98.85901639,2.0,2.0,2.0,1.0,1.0,1.0,0.0,7939.435581,0.0,0.0,,0.0,0.0,0.649503663,0.602092434,0.544961319,0.0,0.115365264,0.0,0.713774617,0.115365264,181.7377049,3.016393443,92.71584699,1.0,1.0,1.0,2.0,2.0,3.0,6.0,7.0,8.0
201805871752687.0,0,2018-05-01,37.0,0.0,74435.19801,0.012506459,0.008282963,,0.001075,0.0,0.497749845,0.436372794,0.397798865,0.0,0.662294815,0.000862,1.0,0.662294815,137.7377049,5.475409836,42.95446266,1.0,2.0,2.0,4.0,4.0,5.0,0.0,11864.36939,0.039000225,0.008569226,,0.006934589,0.0,0.503550066,0.447108174,0.421808731,0.0,0.219722479,0.002949589,0.721023256,0.219722479,137.7377049,4.360655738,36.56830601,1.0,2.0,2.0,4.0,4.0,5.0,5.0,10.0,10.0
201806872239580.0,0,2018-06-01,27.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,19.37704918,19.37704918,19.37704918,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,19.37704918,19.37704918,19.37704918,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
201806872548508.0,0,2018-06-01,35.0,0.0,333719.5143,0.012832057,0.024227336,,0.0,0.0,0.508186364,0.441003717,0.396023121,0.0,1.888032181,0.0,3.078461538,1.888032181,196.2622951,23.44262295,67.44262295,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4052.025866,0.33436214,0.003743722,,0.0,0.0,0.617928993,0.521403858,0.457126525,0.0,0.011196609,0.0,0.154653846,0.011196609,67.21311475,27.54098361,45.8557377,1.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,7.0
201806873858799.0,0,2018-07-01,52.0,0.0,16582.0247,0.068600502,0.0149411,,0.0,0.0,0.484644076,0.415479424,0.369262018,0.0,0.217798697,0.0,1.0,0.217798697,164.0,0.983606557,86.2529274,1.0,1.0,1.0,2.0,2.0,2.0,0.0,3580.177859,0.043981481,0.0125,,0.0,0.0,0.30429031,0.30429031,0.30429031,0.0,0.284210526,0.0,0.805970149,0.284210526,21.14754098,0.983606557,8.50273224,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0
201807874161348.0,1,2018-07-01,34.0,0.0,6345.288945,0.03668667,0.030434783,,0.237488289,0.0,0.749038964,0.650851761,0.583050372,0.0,0.829586957,0.19058584,1.384648649,0.829586957,33.04918033,14.32786885,23.68852459,4.0,4.0,4.0,0.0,1.0,1.0,0.0,1822.559999,0.080558343,0.098111111,,0.965022208,0.0,0.960814918,0.892185281,0.892185281,0.0,1.217888889,0.965022208,1.400888889,1.217888889,14.32786885,14.32786885,14.32786885,4.0,4.0,4.0,0.0,1.0,1.0,12.0,12.0,14.0
201807875710078.0,0,2018-07-01,38.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,14.8852459,14.8852459,14.8852459,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,14.8852459,14.8852459,14.8852459,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0
201807876116099.0,0,2018-07-01,37.0,0.0,41881.4965,0.014248351,0.018968905,,0.012120352,0.0,0.596003903,0.514191872,0.467968361,0.0,1.331305278,0.010737763,1.0,1.331305278,142.5901639,14.55737705,78.57377049,2.0,2.0,2.0,0.0,1.0,1.0,0.0,3112.969567,0.094224115,0.085507246,,0.094131693,0.0,0.672392792,0.616767053,0.616767053,0.0,0.907487923,0.094131693,1.052077295,0.907487923,14.55737705,14.55737705,14.55737705,2.0,2.0,2.0,0.0,1.0,1.0,4.0,7.0,9.0
