mes_solicitud,edad,suma_saldo_vencido_open,suma_saldo_actual_open,razon_monto_apagar_saldo_actual_open,razon_monto_apagar_limite_credito_open,razon_monto_apagar_saldo_vencido_open,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_open,razon_saldo_vencido_saldo_actual_open,suma_ponderada_pagos_12m_open,suma_ponderada_pagos_18m_open,suma_ponderada_pagos_24m_open,r_sumapd_sumcl_open,r_sumcb_sumcl_open,r_sumhhda_sumhc_open,utilizacion_maximo_limite_open,utilizacion_open,max_antiguedad_cuenta_meses_open,min_antiguedad_cuenta_meses_open,promedio_antiguedad_cuenta_meses_open,max_mop_tc_ult_12m_open,max_mop_tc_ult_18m_open,max_mop_tc_ult_24m_open,num_ctas_antig_12m_open,num_ctas_antig_18m_open,num_ctas_antig_24m_open,suma_saldo_vencido_ban_all,suma_saldo_actual_ban_all,razon_monto_apagar_saldo_actual_ban_all,razon_monto_apagar_limite_credito_ban_all,razon_monto_apagar_saldo_vencido_ban_all,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_ban_all,razon_saldo_vencido_saldo_actual_ban_all,suma_ponderada_pagos_12m_ban_all,suma_ponderada_pagos_18m_ban_all,suma_ponderada_pagos_24m_ban_all,r_sumapd_sumcl_ban_all,r_sumcb_sumcl_ban_all,r_sumhhda_sumhc_ban_all,utilizacion_maximo_limite_ban_all,utilizacion_ban_all,max_antiguedad_cuenta_meses_ban_all,min_antiguedad_cuenta_meses_ban_all,promedio_antiguedad_cuenta_meses_ban_all,max_mop_tc_ult_12m_ban_all,max_mop_tc_ult_18m_ban_all,max_mop_tc_ult_24m_ban_all,num_ctas_antig_12m_ban_all,num_ctas_antig_18m_ban_all,num_ctas_antig_24m_ban_all,n_cons6meses_all,n_cons9meses_all,n_cons12meses_all,f_3pva18m
201708,35.0,0.0,4006.130533,0.060781102,0.011557377,,0.0,0.0,0.528423313,0.456455977,0.409058395,0.0,0.190147541,0.0,0.736344828,0.190147541,86.62295082,8.62295082,50.86885246,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4006.130533,0.034399517,0.015056604,,0.0,0.0,0.519615014,0.456900205,0.419722747,0.0,0.437698113,0.0,0.805811321,0.437698113,51.14754098,51.14754098,51.14754098,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0
201708,32.0,0.0,30856.16239,0.03537183,0.033199651,,0.01194711,0.0,0.51423345,0.457762896,0.410756056,0.0,0.93859012,0.003827608,1.15863711,0.93859012,143.4754098,37.01639344,93.49180328,2.0,2.0,2.0,0.0,0.0,0.0,0.0,27053.0825,0.017652251,0.005837563,,0.062655008,0.0,0.586199812,0.581057694,0.514280074,0.0,0.33069797,0.010821833,1.15863711,0.33069797,88.36065574,24.8852459,40.74098361,2.0,2.0,2.0,0.0,0.0,0.0,6.0,6.0,6.0,0
201708,39.0,0.0,71681.5828,0.021474276,0.006668656,,0.008105925,0.0,0.527093078,0.445463299,0.395116656,0.0,0.310541592,0.007338553,3.796769152,0.310541592,181.9344262,2.721311475,120.9359165,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1237.386447,0.299246652,0.000893,,0.003051013,0.0,0.597152995,0.509785548,0.44764471,0.0,0.002984714,0.000439,0.209941071,0.002984714,153.147541,2.721311475,100.406053,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,0
201708,53.0,0.0,829.7506152,0.016659725,0.0032,,0.0,0.0,0.525846548,0.458993003,0.410677742,0.0,0.19208,0.0,1.05,0.19208,48.13114754,35.14754098,39.47540984,1.0,1.0,1.0,0.0,0.0,0.0,0.0,591.98784,0.0,0.0,,0.0,0.0,0.539442621,0.539442621,0.539442621,0.0,0.251911765,0.0,0.441176471,0.251911765,48.13114754,48.13114754,48.13114754,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,0
201708,37.0,0.0,4310.480067,0.072278501,0.042809524,,,0.0,0.519615014,0.457929096,0.457929096,0.0,0.592285714,,1.045181818,0.592285714,20.6557377,15.90163934,18.27868852,1.0,1.0,1.0,0.0,2.0,4.0,0.0,1866.904335,0.000186,0.0001,,,0.0,0.519615014,0.457929096,0.457929096,0.0,0.5387,,1.0,0.5387,15.90163934,15.90163934,15.90163934,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0
201708,35.0,0.0,45649.51483,0.02459693,0.022658621,,0.0,0.0,0.534869653,0.453638735,0.434327836,0.0,0.921197112,0.0,1.274286822,0.921197112,21.40983607,1.147540984,10.52459016,1.0,1.0,1.0,4.0,6.0,8.0,0.0,126.8723878,,,,0.0,0.0,0.639465596,0.639465596,0.639465596,0.0,0.262142857,0.0,0.928571429,0.262142857,3.508196721,3.508196721,3.508196721,1.0,1.0,1.0,2.0,2.0,2.0,6.0,8.0,10.0,0
201708,48.0,0.0,7254.60993,0.052934599,0.005178031,,,0.0,0.527923422,0.44605053,0.394401265,0.0,0.097819409,,0.181547197,0.097819409,259.0819672,7.606557377,121.6994536,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3217.482414,0.044952258,0.001748383,,,0.0,0.645707591,0.555584613,0.491946238,0.0,0.038894221,,0.419010989,0.038894221,238.9180328,0.0,47.79098361,1.0,1.0,1.0,3.0,3.0,5.0,1.0,2.0,2.0,0
201708,41.0,0.0,112013.2413,0.024849728,0.032944443,,0.00755,0.0,0.583127152,0.49429512,0.44041459,0.0,1.325746625,0.001875362,2.5,1.325746625,129.1147541,5.37704918,38.15081967,2.0,2.0,2.0,4.0,4.0,6.0,0.0,62537.54905,0.015607279,0.009866086,,0.020933553,0.0,0.575418984,0.481410458,0.426686621,0.0,0.632146442,0.00307582,0.9016625,0.632146442,135.1803279,5.37704918,63.92786885,2.0,2.0,2.0,2.0,2.0,4.0,12.0,14.0,16.0,0
201708,39.0,22.26881301,94446.35162,0.036588353,0.038763773,155.1782946,0.01344353,0.000236,0.590254186,0.498203291,0.44554168,0.00025,1.059456633,0.004884272,1.0,1.059456633,141.5081967,2.295081967,50.13114754,3.0,3.0,4.0,1.0,3.0,3.0,0.0,11637.09475,0.062377618,0.063712121,,0.062189055,0.0,0.564826317,0.478819659,0.441154777,0.0,1.021393939,0.03859438,1.282054054,1.021393939,64.32786885,17.86885246,41.09836066,2.0,2.0,2.0,0.0,1.0,1.0,8.0,10.0,13.0,0
201708,52.0,0.0,17535.28175,0.03215887,0.012197232,,,0.0,0.531494292,0.448219069,0.394401265,0.0,0.379280506,,0.253365973,0.379280506,225.704918,28.03278689,122.0546448,1.0,1.0,1.0,0.0,0.0,0.0,0.0,17535.28175,0.03215887,0.01144774,,,0.0,0.561802901,0.469610282,0.407411995,0.0,0.355974576,,0.253365973,0.355974576,118.3606557,28.03278689,67.96721311,1.0,1.0,1.0,0.0,0.0,0.0,10.0,12.0,12.0,0
